,0,1
human: admiring,-5.566406026980566,5.3776335740691765
human: affectionate,-1.4094194956136583,9.410742786855089
human: angry,1.5113825145506021,-9.342649479939162
human: annoyed,4.998893060228403,-9.564871456409488
human: anxious,8.509684651253353,-0.547949967516686
human: apologetic,-1.5922796607706267,-7.2272440050392674
human: appreciative,-6.339180811700838,9.55053130069853
human: concerned,11.549248712354142,-0.22657306838240743
human: confused,5.295807221643753,-4.809457606511437
human: curious,-6.164652577005425,-6.454173309881096
human: defensive,2.412890630007518,-6.3196615410998955
human: descriptive,3.4205197179750315,8.123294247617567
human: desperate,6.850091506636784,-2.125337047166027
human: disappointed,3.145142778180264,-10.582078524966299
human: encouraging,-3.099261105709402,6.5943232377023255
human: excited,-12.28685613482984,3.035964972181472
human: friendly,-3.3076982636768784,11.539961003027354
human: frustrated,7.934076215517201,-8.212930350934954
human: grateful,-9.272804281481884,5.909208783770386
human: happy,-10.091627593883368,9.688669772662836
human: indignant,1.8241873163169247,-8.097860978653669
human: irritated,5.900498685790274,-9.770114844516662
human: joyful,-9.242472909683952,9.990473649372218
human: nostalgic,-5.134960045183704,-3.0042588385639775
human: pleased,-10.663220880221855,8.13854999093351
human: proud,-6.151078159219278,2.206055680489568
human: reassuring,-1.7368070125095358,4.810008205817565
human: reflective,5.099758237481552,7.3460530399474395
human: relieved,-7.5228838737635115,-0.4889578652193663
human: resigned,3.0290657257999243,-4.270582340541135
human: sad,5.909847371685697,-5.913684456978437
human: sarcastic,-2.7727952538917675,-6.732123694267779
human: shocked,5.825209165691701,3.379298270211862
human: skeptical,-0.3331707237307967,-5.532301091753994
human: surprised,2.7479034541012846,3.8655439140396206
human: sympathetic,0.2423009242329096,-1.01471829791645
human: thankful,-9.960365023819026,5.0901752149083785
human: uncertain,8.90200628380435,-3.725108404399719
human: urgent,6.7761253124203025,1.2071384722700047
human: worried,10.763300348003916,-1.3009889459169983
gpt: admiring,-4.127288408509543,2.961834882166193
gpt: affectionate,-7.497147270290487,4.654428966767021
gpt: angry,7.349183844427865,-0.9345555274756011
gpt: annoyed,10.346933412817542,-1.4556163076604518
gpt: anxious,1.6554233121597608,-11.119305152428945
gpt: apologetic,-1.6222214413178258,-2.392351875283942
gpt: appreciative,-12.118822681549329,3.2034376906775015
gpt: concerned,5.960886899373391,-11.958945172349694
gpt: confused,1.1894489227813099,-6.285902925602478
gpt: curious,3.144668948253917,1.5644555422439645
gpt: defensive,9.090713239522584,0.6767586034360336
gpt: descriptive,-1.494402084423905,4.421082323816315
gpt: desperate,5.002414541530121,-8.269878079087515
gpt: disappointed,6.522131658597644,-3.3688719792702746
gpt: encouraging,-5.746543477961793,1.0016374649824826
gpt: excited,-3.5691304787895364,14.688425603983749
gpt: friendly,-1.4228107015214,15.60773651034584
gpt: frustrated,9.598704884608992,-4.6637874100646295
gpt: grateful,-10.755202774473137,-1.7376152738851518
gpt: happy,-8.563886826351787,15.284272907956796
gpt: indignant,9.794520779000178,0.42500404267104364
gpt: irritated,9.973954728047977,-2.3891049166875895
gpt: joyful,-7.2372871746130265,14.82855093318797
gpt: nostalgic,-5.791322765206293,-4.406642393756061
gpt: pleased,-11.914105136119856,13.655159252349023
gpt: proud,-1.3869165066090023,0.2704746228151284
gpt: reassuring,-2.832079608390048,-1.646305460390512
gpt: reflective,-6.03343651917166,-6.765131979662605
gpt: relieved,-7.691287201479496,-0.6033371262777931
gpt: resigned,3.7165481750650047,-3.6349065403060936
gpt: sad,-2.357616925999835,-6.8640265863732015
gpt: sarcastic,5.473190358466716,5.233547215083016
gpt: shocked,9.12774794519656,6.490918597616454
gpt: skeptical,5.549247978563487,-0.32647697036531725
gpt: surprised,7.439916850928027,11.30749373050887
gpt: sympathetic,-2.4725218577583146,-5.136810996154431
gpt: thankful,-11.424363506665996,-2.0857178894227353
gpt: uncertain,-1.1657692797587835,-11.100753602311567
gpt: urgent,3.5171960807607414,-7.616336146300866
gpt: worried,2.7713300668592447,-11.51283857948993
